,hospital_beds_per_thousand,date,location,cty_id
370,0.5,2020-05-05,Afghanistan,2
371,0.5,2020-05-06,Afghanistan,2
372,0.5,2020-05-07,Afghanistan,2
373,0.5,2020-05-08,Afghanistan,2
374,0.5,2020-05-09,Afghanistan,2
375,0.5,2020-05-10,Afghanistan,2
376,0.5,2020-05-11,Afghanistan,2
377,0.5,2020-05-12,Afghanistan,2
378,0.5,2020-05-13,Afghanistan,2
379,0.5,2020-05-14,Afghanistan,2
380,0.5,2020-05-15,Afghanistan,2
381,0.5,2020-05-16,Afghanistan,2
382,0.5,2020-05-17,Afghanistan,2
383,0.5,2020-05-18,Afghanistan,2
384,0.5,2020-05-19,Afghanistan,2
385,0.5,2020-05-20,Afghanistan,2
386,0.5,2020-05-21,Afghanistan,2
387,0.5,2020-05-22,Afghanistan,2
388,0.5,2020-05-23,Afghanistan,2
389,0.5,2020-05-24,Afghanistan,2
390,0.5,2020-05-25,Afghanistan,2
391,0.5,2020-05-26,Afghanistan,2
392,0.5,2020-05-27,Afghanistan,2
393,0.5,2020-05-28,Afghanistan,2
394,0.5,2020-05-29,Afghanistan,2
395,0.5,2020-05-30,Afghanistan,2
396,0.5,2020-05-31,Afghanistan,2
397,0.5,2020-06-01,Afghanistan,2
398,0.5,2020-06-02,Afghanistan,2
399,0.5,2020-06-03,Afghanistan,2
400,0.5,2020-06-04,Afghanistan,2
401,0.5,2020-06-05,Afghanistan,2
402,0.5,2020-06-06,Afghanistan,2
403,0.5,2020-06-07,Afghanistan,2
404,0.5,2020-06-08,Afghanistan,2
405,0.5,2020-06-09,Afghanistan,2
406,0.5,2020-06-10,Afghanistan,2
407,0.5,2020-06-11,Afghanistan,2
408,0.5,2020-06-12,Afghanistan,2
409,0.5,2020-06-13,Afghanistan,2
410,0.5,2020-06-14,Afghanistan,2
411,0.5,2020-06-15,Afghanistan,2
412,0.5,2020-06-16,Afghanistan,2
413,0.5,2020-06-17,Afghanistan,2
414,0.5,2020-06-18,Afghanistan,2
415,0.5,2020-06-19,Afghanistan,2
416,0.5,2020-06-20,Afghanistan,2
417,0.5,2020-06-21,Afghanistan,2
418,0.5,2020-06-22,Afghanistan,2
419,0.5,2020-06-23,Afghanistan,2
420,0.5,2020-06-24,Afghanistan,2
421,0.5,2020-06-25,Afghanistan,2
422,0.5,2020-06-26,Afghanistan,2
423,0.5,2020-06-27,Afghanistan,2
424,0.5,2020-06-28,Afghanistan,2
425,0.5,2020-06-29,Afghanistan,2
426,0.5,2020-06-30,Afghanistan,2
427,0.5,2020-07-01,Afghanistan,2
428,0.5,2020-07-02,Afghanistan,2
429,0.5,2020-07-03,Afghanistan,2
430,0.5,2020-07-04,Afghanistan,2
431,0.5,2020-07-05,Afghanistan,2
432,0.5,2020-07-06,Afghanistan,2
433,0.5,2020-07-07,Afghanistan,2
434,0.5,2020-07-08,Afghanistan,2
435,0.5,2020-07-09,Afghanistan,2
436,0.5,2020-07-10,Afghanistan,2
437,0.5,2020-07-11,Afghanistan,2
438,0.5,2020-07-12,Afghanistan,2
439,0.5,2020-07-13,Afghanistan,2
440,0.5,2020-07-14,Afghanistan,2
441,0.5,2020-07-15,Afghanistan,2
442,0.5,2020-07-16,Afghanistan,2
443,0.5,2020-07-17,Afghanistan,2
444,0.5,2020-07-18,Afghanistan,2
445,0.5,2020-07-19,Afghanistan,2
446,0.5,2020-07-20,Afghanistan,2
447,0.5,2020-07-21,Afghanistan,2
448,0.5,2020-07-22,Afghanistan,2
449,0.5,2020-07-23,Afghanistan,2
450,0.5,2020-07-24,Afghanistan,2
451,0.5,2020-07-25,Afghanistan,2
452,0.5,2020-07-26,Afghanistan,2
453,0.5,2020-07-27,Afghanistan,2
454,0.5,2020-07-28,Afghanistan,2
455,0.5,2020-07-29,Afghanistan,2
456,0.5,2020-07-30,Afghanistan,2
457,0.5,2020-07-31,Afghanistan,2
458,0.5,2020-08-01,Afghanistan,2
459,0.5,2020-08-02,Afghanistan,2
460,0.5,2020-08-03,Afghanistan,2
461,0.5,2020-08-04,Afghanistan,2
462,0.5,2020-08-05,Afghanistan,2
463,0.5,2020-08-06,Afghanistan,2
464,0.5,2020-08-07,Afghanistan,2
465,0.5,2020-08-08,Afghanistan,2
466,0.5,2020-08-09,Afghanistan,2
467,0.5,2020-08-10,Afghanistan,2
468,0.5,2020-08-11,Afghanistan,2
469,0.5,2020-08-12,Afghanistan,2
470,0.5,2020-08-13,Afghanistan,2
471,0.5,2020-08-14,Afghanistan,2
472,0.5,2020-08-15,Afghanistan,2
473,0.5,2020-08-16,Afghanistan,2
